Overall,Overall.1,Overall.2,Overall.3,Overall.4,Overall.5,Conf.,Conf..1,Home,Home.1,Away,Away.1,Points,Points.1,School Advanced,School Advanced.1,School Advanced.2,School Advanced.3,School Advanced.4,School Advanced.5,School Advanced.6,School Advanced.7,School Advanced.8,School Advanced.9,School Advanced.10,School Advanced.11,School Advanced.12,Year
33,19,14,.576,-2.65,-1.53,12,6,12,7,7,6,2217,2254,64.2,104.2,.422,.369,.556,49.4,56.0,10.0,6.9,.519,17.8,29.0,.297,2015.0
36,27,9,.750,18.47,12.13,13,5,15,0,5,6,2561,2333,66.7,106.3,.426,.284,.539,52.6,54.7,9.8,12.3,.494,16.3,34.9,.309,2015.0
33,14,19,.424,-8.01,-5.07,8,6,9,4,4,13,2164,2202,65.0,99.1,.408,.365,.510,46.9,52.0,12.2,10.1,.468,17.3,32.2,.283,2015.0
32,15,17,.469,8.48,9.29,8,10,13,4,1,10,2016,2042,63.1,99.5,.460,.264,.519,51.2,60.4,9.6,6.7,.477,17.9,33.9,.311,2015.0
32,10,22,.313,-17.33,-5.10,4,10,6,8,3,14,2027,2363,66.8,94.8,.292,.372,.501,47.7,46.2,8.1,8.9,.464,18.4,30.0,.214,2015.0
35,23,12,.657,2.04,-0.94,12,6,11,4,10,6,2313,2202,62.1,105.0,.382,.371,.524,50.9,46.2,8.0,10.2,.494,15.1,33.9,.251,2015.0
39,38,1,.974,28.72,8.67,18,0,19,0,10,0,2900,2118,63.7,115.5,.439,.271,.558,54.9,55.0,10.1,18.2,.515,13.6,39.5,.319,2015.0
33,17,16,.515,4.85,3.91,8,10,10,5,6,7,2086,2055,64.3,96.8,.364,.294,.506,49.6,53.9,9.8,9.6,.467,17.2,29.6,.253,2015.0
33,20,13,.606,-3.37,-3.12,9,9,11,5,9,7,2426,2409,64.8,112.9,.305,.356,.589,48.3,58.9,8.4,6.9,.557,15.1,28.4,.234,2015.0
30,15,15,.500,-9.75,-5.29,9,9,12,2,2,13,2146,2132,68.8,103.5,.423,.321,.539,51.8,52.3,10.8,11.0,.503,18.9,35.9,.288,2015.0
30,16,14,.533,-3.00,-3.55,10,8,8,6,8,7,2042,2000,66.3,101.4,.362,.290,.531,51.0,59.3,8.3,9.3,.491,17.0,29.6,.262,2015.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2015.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2015.0
32,8,24,.250,-16.01,-6.44,2,16,8,8,0,13,2045,2222,66.7,95.4,.392,.285,.520,51.3,49.9,8.2,8.3,.479,21.0,32.4,.276,2015.0
31,14,17,.452,-10.82,-5.15,7,7,10,3,4,14,2232,2322,69.2,102.9,.404,.435,.529,49.6,58.3,8.1,6.1,.490,16.3,29.9,.281,2015.0
31,13,18,.419,-5.38,-3.81,8,12,9,7,3,9,2146,2180,65.5,102.8,.355,.358,.516,48.2,51.3,8.3,7.9,.478,13.6,28.8,.250,2015.0
33,16,17,.485,1.64,4.16,10,6,10,2,4,13,2188,2221,65.8,100.1,.353,.371,.518,48.9,48.5,9.9,7.0,.484,17.4,32.0,.241,2015.0
30,12,18,.400,-9.09,-5.32,8,10,5,6,6,9,2022,2135,68.1,96.5,.398,.348,.493,49.5,51.1,8.2,6.4,.449,16.7,31.3,.274,2015.0
34,11,23,.324,-12.96,-5.53,5,13,6,7,2,14,2311,2491,67.7,98.9,.305,.393,.531,45.7,49.1,11.6,9.1,.498,18.4,27.3,.220,2015.0
36,22,14,.611,0.82,-3.61,13,7,12,4,8,8,2789,2520,71.6,107.5,.399,.315,.552,54.4,54.3,9.2,9.8,.515,17.2,35.5,.282,2015.0
33,22,11,.667,11.39,5.63,11,7,13,4,8,3,2423,2233,69.6,103.1,.335,.284,.533,51.5,57.8,10.2,14.0,.503,17.3,33.9,.229,2015.0
36,27,9,.750,5.75,-1.34,15,3,17,0,9,8,2632,2362,67.9,106.9,.339,.358,.537,46.9,53.3,12.3,14.3,.506,13.7,29.0,.234,2015.0
38,24,14,.632,-1.99,-2.88,14,6,14,4,9,7,2454,2299,63.5,100.4,.270,.293,.503,52.3,53.8,8.1,11.2,.471,15.3,33.3,.192,2015.0
36,27,9,.750,18.12,8.98,12,6,15,4,7,3,2483,2154,65.5,104.5,.387,.314,.512,51.8,47.7,11.9,14.4,.477,14.4,34.7,.258,2015.0
37,24,13,.649,2.35,0.46,8,10,13,6,8,6,2324,2235,60.4,103.7,.342,.322,.563,49.0,58.1,10.7,7.1,.537,18.4,28.0,.235,2015.0
30,11,19,.367,-10.75,-3.38,7,11,7,6,3,13,1764,1985,62.2,92.2,.376,.287,.470,50.9,47.8,8.7,9.0,.428,17.1,32.1,.253,2015.0
31,8,23,.258,-4.13,5.28,4,14,5,9,2,11,1928,2188,62.9,98.1,.358,.279,.508,49.6,57.2,9.6,10.5,.467,18.2,33.7,.254,2015.0
30,3,27,.100,-17.80,-3.40,2,14,2,9,1,17,1812,2244,66.3,90.4,.276,.381,.501,44.9,60.7,8.9,3.1,.466,19.3,23.3,.201,2015.0
33,19,14,.576,-1.34,-3.34,13,7,9,2,5,9,2300,2234,68.2,100.7,.474,.366,.537,48.6,60.8,11.6,7.5,.494,18.3,30.9,.328,2015.0
32,7,25,.219,-10.55,-2.93,5,15,3,9,2,13,1957,2201,66.4,92.1,.380,.440,.509,42.9,51.8,10.5,7.8,.468,18.5,21.2,.266,2015.0
32,13,19,.406,7.08,9.02,4,14,9,8,1,9,2083,2145,64.6,99.9,.358,.354,.524,46.6,64.6,11.6,9.8,.498,16.8,29.0,.231,2015.0
32,11,21,.344,-6.45,-0.22,7,11,10,7,1,12,2137,2288,71.0,93.7,.346,.428,.499,48.6,55.8,9.3,7.5,.469,18.9,29.1,.224,2015.0
35,28,7,.800,13.32,7.63,14,4,18,1,6,4,2417,2218,64.7,106.1,.445,.387,.562,51.1,48.1,7.4,11.9,.512,16.7,28.9,.336,2015.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2015.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2015.0
30,4,26,.133,-16.17,-5.14,2,14,2,11,2,15,1682,2013,64.4,86.7,.374,.325,.496,46.5,57.2,10.2,8.6,.463,21.6,23.3,.241,2015.0
33,18,15,.545,-6.55,-6.94,11,5,7,3,11,9,2229,2216,65.1,103.3,.470,.336,.549,51.7,59.4,11.5,4.5,.517,19.9,35.5,.308,2015.0
32,17,15,.531,3.59,4.69,10,8,10,5,5,8,2220,2255,68.3,100.7,.424,.273,.518,51.5,55.6,9.8,10.3,.473,17.4,33.9,.298,2015.0
29,12,17,.414,-11.21,-4.32,6,10,6,5,6,12,1780,1928,64.5,93.9,.343,.420,.517,45.1,53.0,10.6,3.1,.487,18.2,21.9,.228,2015.0
31,15,16,.484,-10.05,-5.42,8,10,11,5,3,10,2154,2210,66.0,104.4,.309,.331,.501,49.1,51.6,10.8,12.6,.474,13.4,34.6,.201,2015.0
32,18,14,.563,7.15,2.90,10,8,12,6,4,5,2155,2019,65.6,101.8,.316,.277,.513,53.0,57.4,10.6,17.2,.484,16.9,37.0,.211,2015.0
35,19,16,.543,-2.01,-4.10,12,6,12,4,5,9,2334,2196,61.2,106.7,.400,.332,.533,50.8,57.9,10.2,8.1,.497,14.7,33.3,.275,2015.0
38,25,13,.658,12.00,7.05,10,8,12,6,8,4,2592,2404,62.5,107.3,.355,.397,.540,50.6,55.6,8.7,9.0,.499,13.8,29.6,.265,2015.0
32,13,19,.406,-3.75,0.31,8,10,10,7,3,10,2123,2226,65.4,99.8,.383,.325,.535,48.1,50.7,11.5,6.5,.496,17.2,26.0,.272,2015.0
32,16,16,.500,9.56,9.59,8,10,12,6,2,8,2071,2048,60.7,104.2,.271,.404,.532,47.0,52.0,8.8,5.2,.498,13.6,25.5,.205,2015.0
39,27,12,.692,17.46,10.00,12,6,12,4,7,4,2773,2482,63.0,109.7,.327,.350,.550,53.9,63.7,8.0,12.6,.532,14.9,33.4,.207,2015.0
36,19,17,.528,0.21,-0.39,9,9,12,4,4,10,2285,2247,62.1,99.8,.380,.362,.518,52.1,51.2,9.3,9.4,.479,17.5,31.8,.266,2015.0
30,14,16,.467,-4.85,0.15,9,7,10,4,3,11,1963,2077,65.4,100.1,.377,.399,.532,49.4,58.9,8.0,6.9,.489,17.2,26.9,.277,2015.0
33,18,15,.545,12.34,7.21,6,12,13,5,3,8,2449,2233,68.2,108.0,.330,.332,.550,48.1,58.3,13.8,9.7,.526,15.2,30.6,.221,2015.0
34,21,13,.618,11.39,7.01,11,7,9,7,8,4,2475,2326,67.0,107.9,.361,.331,.527,51.8,53.1,9.8,11.3,.478,13.9,34.8,.279,2015.0
32,13,19,.406,2.53,4.72,6,12,9,8,3,8,1977,2032,64.1,96.4,.467,.279,.520,51.9,41.6,10.0,8.4,.472,19.9,32.6,.325,2015.0
32,6,26,.188,-23.94,-7.78,5,13,3,6,2,17,2045,2562,71.0,88.9,.330,.272,.463,44.2,45.8,10.5,2.9,.427,17.9,30.1,.216,2015.0
32,9,23,.281,1.13,9.26,3,15,8,8,1,10,1935,2173,63.4,94.7,.331,.352,.494,48.2,50.2,8.8,8.3,.461,17.5,29.7,.220,2015.0
31,11,20,.355,-4.92,1.67,5,13,8,6,3,11,1850,1989,61.1,96.1,.326,.318,.497,50.4,53.1,8.3,9.4,.455,16.8,31.1,.238,2015.0
33,18,15,.545,-2.18,-2.91,13,7,8,7,9,7,2134,2110,64.1,99.7,.410,.297,.525,48.8,51.0,10.8,12.5,.479,17.3,30.0,.296,2015.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2015.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2015.0
33,20,13,.606,-1.75,-3.78,14,4,13,4,7,9,2347,2219,63.2,108.4,.325,.413,.569,50.1,56.3,10.1,8.0,.540,15.9,28.2,.233,2015.0
30,7,23,.233,-12.91,-3.50,4,14,5,9,2,14,1917,2152,66.4,96.3,.289,.413,.506,49.3,52.7,6.6,8.1,.471,17.8,29.3,.208,2015.0
34,17,17,.500,-0.66,-3.31,10,6,7,6,7,9,2420,2255,67.0,105.5,.354,.331,.537,53.4,58.0,12.1,9.9,.499,17.0,35.8,.254,2015.0
31,7,24,.226,-16.19,-6.48,5,11,5,5,1,17,1898,2199,65.6,92.9,.331,.306,.437,47.8,46.5,8.6,8.0,.402,13.3,34.9,.207,2015.0
30,15,15,.500,-6.14,-4.40,11,7,9,4,5,11,1893,1945,63.1,97.9,.304,.420,.503,48.3,51.7,10.5,10.1,.472,16.3,30.6,.207,2015.0
35,29,6,.829,7.13,-2.81,16,0,15,1,12,2,2764,2367,67.5,116.2,.417,.340,.578,52.7,56.5,10.6,8.7,.548,14.7,36.1,.290,2015.0
32,13,19,.406,-7.87,-3.61,8,10,8,8,4,10,1952,2059,61.5,99.1,.313,.316,.519,49.6,58.8,9.5,10.9,.491,17.2,29.6,.210,2015.0
36,22,14,.611,14.11,9.72,10,8,14,6,5,5,2525,2367,64.5,108.0,.354,.322,.526,52.3,46.4,5.9,13.1,.493,13.5,34.0,.243,2015.0
31,13,18,.419,5.90,7.58,5,13,10,6,1,11,1905,1957,63.8,94.7,.365,.351,.503,48.5,47.4,9.5,9.0,.462,17.1,26.7,.258,2015.0
31,9,22,.290,-6.03,1.08,5,13,7,8,2,11,1874,2061,63.8,94.4,.420,.249,.467,54.0,46.8,8.5,11.4,.414,17.8,40.2,.292,2015.0
33,18,15,.545,5.41,3.38,8,10,13,4,4,8,2250,2125,65.1,103.5,.330,.352,.535,49.0,56.1,8.4,16.4,.510,15.2,27.0,.219,2015.0
32,19,13,.594,-3.76,-6.29,11,5,12,3,7,10,2148,1973,64.5,102.0,.366,.360,.534,53.4,49.0,7.9,6.2,.504,16.4,28.1,.247,2015.0
31,15,16,.484,2.80,1.03,7,11,10,5,4,8,1921,1866,61.9,99.0,.384,.302,.512,53.7,58.0,9.2,14.9,.479,17.3,33.2,.253,2015.0
34,23,11,.676,3.71,-3.67,13,1,15,2,6,8,2316,2033,62.9,107.4,.441,.257,.548,54.9,50.2,10.2,9.2,.509,18.2,39.9,.306,2015.0
29,11,18,.379,-11.86,-6.36,6,12,8,4,2,13,2062,2133,70.0,100.8,.480,.228,.523,51.4,39.6,10.6,9.3,.477,18.7,35.8,.331,2015.0
30,8,22,.267,-9.27,-1.80,7,13,4,10,4,10,1930,2154,65.5,97.5,.412,.326,.502,50.1,52.6,8.7,6.6,.456,17.5,32.0,.286,2015.0
29,10,19,.345,-15.84,-5.30,7,11,7,6,3,12,1885,2117,68.4,94.2,.427,.328,.519,49.0,55.4,10.0,11.2,.489,21.3,31.6,.267,2015.0
33,21,12,.636,-3.21,-4.07,,,15,2,6,10,2368,2229,67.3,106.7,.385,.420,.566,49.6,60.9,10.5,12.8,.536,17.7,30.0,.268,2015.0
34,20,14,.588,-4.66,-6.35,12,4,10,3,7,10,2385,2254,65.4,105.7,.417,.305,.553,53.7,54.0,7.7,15.0,.525,17.6,34.9,.275,2015.0
38,26,12,.684,20.63,11.76,11,7,10,5,7,4,2953,2616,69.2,111.6,.353,.223,.548,55.2,60.1,9.5,11.3,.516,15.1,40.0,.247,2015.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2015.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2015.0
32,9,23,.281,-16.76,-8.02,6,10,7,5,2,15,1884,2112,63.3,92.6,.390,.342,.490,49.8,45.8,8.4,11.8,.448,20.1,34.3,.266,2015.0
33,25,8,.758,0.66,-8.67,16,0,12,0,9,7,2278,1821,62.6,109.9,.379,.356,.579,53.1,56.7,10.6,12.5,.553,17.4,32.4,.260,2015.0
30,8,22,.267,-12.16,-3.73,4,14,3,9,4,12,2032,2201,68.2,98.5,.384,.332,.525,47.4,49.5,9.2,8.2,.491,16.2,25.0,.260,2015.0
33,23,10,.697,-1.72,-3.63,12,4,14,0,5,8,2141,2057,61.9,103.7,.358,.350,.534,51.3,42.4,7.6,10.7,.501,14.0,25.6,.248,2015.0
35,23,12,.657,-0.82,-5.94,12,2,12,2,9,9,2651,2385,67.7,111.9,.391,.424,.585,50.7,56.4,9.0,9.9,.553,16.1,30.1,.283,2015.0
31,14,17,.452,-4.95,-0.71,8,10,11,6,3,10,2025,2113,67.0,97.1,.403,.291,.506,49.5,42.7,10.0,9.9,.476,17.4,31.0,.254,2015.0
35,23,12,.657,2.03,-1.34,12,6,9,3,8,7,2397,2279,63.5,106.7,.413,.305,.581,54.2,59.7,8.1,9.3,.545,19.0,30.1,.300,2015.0
38,23,15,.605,-3.48,-4.13,13,5,13,2,8,12,2606,2556,65.3,104.1,.365,.337,.511,54.0,52.7,7.3,11.1,.462,14.9,35.7,.274,2015.0
30,15,15,.500,-6.82,-6.21,10,8,12,3,3,11,2242,2203,64.1,114.7,.356,.316,.567,49.5,46.0,10.0,6.1,.536,13.7,33.7,.254,2015.0
30,14,16,.467,-1.79,-0.14,8,10,10,5,4,11,1971,1989,64.0,101.4,.476,.305,.521,52.7,44.5,11.6,8.4,.477,18.4,36.7,.324,2015.0
35,31,4,.886,12.54,2.00,16,2,16,0,9,3,2281,1912,57.4,111.9,.398,.399,.593,51.9,53.2,10.2,7.8,.559,15.9,27.0,.292,2015.0
30,13,17,.433,-6.85,-4.49,7,7,9,6,4,11,2117,2079,65.1,107.5,.299,.383,.547,50.1,48.7,8.8,8.4,.527,15.3,29.6,.197,2015.0
32,15,17,.469,6.11,7.20,6,12,11,7,3,8,2031,2066,60.5,103.0,.286,.380,.536,49.5,63.3,6.0,11.3,.504,15.8,27.6,.209,2015.0
32,19,13,.594,-5.48,-4.52,13,5,11,4,7,8,2687,2656,75.1,111.8,.346,.361,.562,46.2,53.8,10.1,10.3,.525,14.1,30.9,.259,2015.0
38,32,6,.842,19.23,7.02,14,4,17,2,7,2,2963,2499,63.7,120.4,.367,.376,.612,49.8,54.9,10.4,9.1,.583,12.9,27.9,.272,2015.0
33,16,17,.485,-1.28,1.27,11,5,12,4,4,12,2450,2482,66.7,108.9,.375,.386,.561,50.1,60.3,8.7,4.5,.532,16.0,30.4,.257,2015.0
30,10,20,.333,-4.15,0.45,5,13,8,7,1,11,2028,2166,67.2,100.1,.290,.380,.531,48.3,46.9,7.6,11.0,.498,16.7,25.9,.213,2015.0
35,24,11,.686,19.68,7.37,11,7,18,2,4,6,2635,2204,66.0,113.3,.347,.319,.567,51.5,55.4,11.4,14.6,.542,14.6,33.5,.236,2015.0
35,24,11,.686,18.65,9.94,12,6,14,1,5,6,2501,2196,67.4,105.2,.328,.338,.532,51.1,48.6,10.0,12.9,.493,15.1,31.5,.243,2015.0
32,18,14,.563,12.95,9.63,8,10,12,4,3,8,2160,2011,64.6,103.6,.387,.388,.547,48.6,49.9,12.1,13.7,.507,16.6,27.8,.281,2015.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2015.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2015.0
35,27,8,.771,7.68,-0.15,13,5,20,0,5,5,2273,1999,61.1,105.6,.306,.329,.513,53.9,56.5,10.3,11.2,.486,14.5,36.0,.204,2015.0
29,12,17,.414,-7.18,-5.14,5,11,7,6,5,11,2226,2256,73.4,103.7,.427,.313,.537,50.1,45.6,11.0,8.4,.497,15.9,30.6,.298,2015.0
34,19,15,.559,-3.83,-1.99,10,6,12,2,5,11,2377,2343,66.4,104.5,.431,.309,.531,49.7,47.1,8.7,10.2,.484,15.0,30.5,.310,2015.0
36,26,10,.722,11.43,7.65,13,5,17,2,6,4,2713,2550,68.0,109.3,.286,.339,.557,50.9,51.2,8.3,11.0,.524,14.7,30.8,.217,2015.0
31,17,14,.548,5.93,4.97,8,10,15,2,2,9,1887,1834,62.1,97.6,.363,.314,.510,48.2,56.1,12.5,13.9,.472,16.5,29.0,.252,2015.0
31,12,19,.387,-3.19,3.31,4,14,6,8,5,8,1996,2115,62.0,102.5,.408,.358,.512,52.0,53.3,6.4,7.3,.479,16.7,35.6,.265,2015.0
34,18,16,.529,7.77,7.10,4,14,10,6,3,8,2273,2250,65.8,100.2,.347,.359,.516,49.7,42.3,9.1,11.0,.480,15.8,29.7,.241,2015.0
28,9,19,.321,-8.32,-1.36,4,10,4,9,5,10,1687,1882,63.2,95.0,.359,.325,.523,50.4,54.9,8.6,7.4,.491,20.6,29.6,.242,2015.0
32,18,14,.563,3.86,2.80,10,8,10,5,7,7,2020,1972,64.2,98.3,.378,.278,.514,49.1,60.4,9.7,8.9,.466,16.7,28.9,.280,2015.0
34,19,15,.559,8.45,7.36,8,10,14,4,2,8,2279,2230,61.2,108.4,.348,.259,.524,51.5,67.2,8.0,7.9,.491,13.4,35.5,.238,2015.0
33,17,16,.515,3.06,2.67,7,11,9,7,5,7,2315,2253,64.6,106.9,.366,.315,.540,52.8,60.0,8.9,12.1,.503,15.8,35.2,.262,2015.0
29,15,14,.517,-7.75,-4.86,9,9,9,4,6,9,2083,2098,67.2,106.4,.364,.308,.540,47.7,52.7,9.3,10.7,.498,14.4,28.1,.270,2015.0
33,15,18,.455,-10.86,-8.20,12,6,7,3,7,12,2211,2280,69.2,96.8,.314,.277,.500,45.8,43.1,12.6,8.6,.473,17.6,32.1,.203,2015.0
32,10,22,.313,-16.26,-4.51,6,12,7,8,3,11,1978,2214,63.3,97.7,.330,.257,.516,49.1,46.0,8.2,8.8,.489,17.8,29.5,.217,2015.0
30,16,14,.533,-1.34,-2.92,9,5,11,3,4,9,2066,1972,65.0,105.9,.452,.459,.584,48.8,58.1,8.5,8.3,.549,17.2,21.2,.322,2015.0
34,22,12,.647,13.71,9.50,11,7,13,4,5,6,2370,2227,65.7,105.4,.407,.289,.526,52.9,57.2,10.8,13.5,.484,15.3,35.1,.287,2015.0
34,21,13,.618,12.93,7.64,12,6,14,3,4,6,2375,2195,65.0,106.4,.417,.324,.539,53.5,61.1,8.3,13.6,.502,16.8,36.5,.285,2015.0
31,16,15,.516,-3.13,-3.41,9,7,10,5,6,9,2171,2081,65.4,107.1,.402,.386,.569,50.3,58.9,8.8,8.1,.539,16.0,25.2,.276,2015.0
30,15,15,.500,-1.46,-3.66,9,11,10,7,5,7,2092,2026,66.5,102.4,.355,.296,.494,57.9,58.2,5.2,14.0,.440,16.4,42.1,.274,2015.0
34,22,12,.647,-3.89,-5.53,12,6,12,3,8,8,2476,2301,66.1,108.5,.357,.326,.544,52.1,50.4,10.6,10.9,.513,15.2,35.2,.247,2015.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2015.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2015.0
33,23,10,.697,9.31,2.87,13,5,14,2,7,5,2232,1986,66.5,101.3,.469,.278,.527,52.2,55.3,9.8,14.9,.491,17.6,32.7,.307,2015.0
32,12,20,.375,-2.86,-0.79,8,10,7,7,4,10,2052,2107,62.8,99.4,.339,.493,.547,48.8,59.6,9.2,6.2,.510,19.7,27.4,.251,2015.0
35,21,14,.600,8.65,3.77,12,6,16,4,4,9,2313,2142,61.9,104.5,.329,.373,.549,45.4,56.2,10.9,8.9,.521,14.1,22.2,.227,2015.0
33,21,12,.636,-1.60,-3.11,15,5,10,3,11,5,2153,2103,64.6,99.9,.356,.335,.514,50.3,51.0,10.9,8.3,.494,16.5,31.1,.215,2015.0
35,20,15,.571,-3.02,-3.50,12,6,10,6,8,8,2414,2397,66.7,102.6,.355,.306,.536,47.9,50.1,12.8,8.1,.501,17.2,31.0,.252,2015.0
32,10,22,.313,0.23,8.11,2,16,6,10,2,10,1898,2150,64.9,91.3,.326,.294,.469,49.0,49.9,8.6,10.7,.436,17.1,30.5,.212,2015.0
33,21,12,.636,-4.62,-5.45,13,5,13,2,7,9,2342,2250,63.5,111.7,.355,.295,.580,48.3,55.4,11.0,7.1,.547,14.9,27.9,.261,2015.0
32,15,17,.469,-7.36,-5.97,9,9,10,5,4,12,2360,2367,69.2,103.7,.358,.277,.528,51.0,53.7,9.2,8.7,.502,16.4,34.0,.232,2015.0
32,16,16,.500,-5.68,-4.97,9,9,10,3,6,13,2061,2050,63.8,100.2,.348,.410,.535,47.8,51.9,10.2,7.5,.506,17.1,25.8,.234,2015.0
31,13,18,.419,-0.23,2.58,7,11,10,5,3,11,1912,1999,64.1,94.8,.352,.328,.481,50.1,57.3,10.2,11.9,.453,16.3,31.4,.217,2015.0
32,11,21,.344,-5.38,2.43,3,15,9,9,1,10,1912,2122,63.7,93.0,.420,.333,.502,47.2,60.0,8.3,6.7,.465,18.9,27.3,.275,2015.0
31,21,10,.677,8.68,3.78,13,5,14,5,7,4,2141,1984,62.5,108.8,.350,.367,.558,55.3,62.0,8.0,6.2,.526,16.3,33.6,.250,2015.0
34,16,18,.471,-2.95,-3.92,8,12,7,6,7,10,2081,2048,61.4,98.3,.440,.332,.508,50.1,49.3,10.1,9.6,.469,16.8,31.4,.290,2015.0
35,26,9,.743,2.97,-6.03,15,3,16,2,8,5,2592,2101,67.3,108.9,.455,.410,.540,55.0,61.0,9.6,11.7,.496,15.9,36.4,.321,2015.0
32,13,19,.406,-9.41,-5.57,6,12,8,6,4,11,2216,2301,67.2,102.6,.376,.335,.535,48.0,54.2,10.9,8.3,.502,16.7,30.2,.257,2015.0
31,15,16,.484,5.03,3.47,8,10,9,4,4,8,2006,1949,63.3,101.4,.386,.344,.518,49.2,56.2,10.1,10.5,.480,15.9,30.5,.265,2015.0
36,27,9,.750,11.81,4.24,14,4,16,1,6,5,2226,1939,60.8,100.7,.362,.308,.496,52.4,47.1,11.2,14.1,.467,15.4,35.4,.228,2015.0
32,14,18,.438,3.08,2.83,7,11,8,8,4,8,2215,2167,65.6,104.8,.409,.344,.535,50.5,56.6,8.8,7.2,.510,15.4,31.1,.257,2015.0
30,2,28,.067,-16.22,1.92,0,18,2,13,0,12,1612,2086,64.3,83.2,.305,.428,.452,45.8,53.2,7.5,7.5,.418,19.3,24.9,.199,2015.0
32,14,18,.438,-0.38,4.12,7,11,9,6,3,9,2027,2136,61.3,102.9,.310,.380,.527,46.9,53.3,9.1,5.5,.491,15.0,28.4,.229,2015.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2015.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2015.0
31,9,22,.290,-18.17,-6.27,5,11,7,5,2,16,1758,2072,65.1,86.8,.357,.256,.466,46.6,43.4,13.6,7.3,.442,21.4,30.7,.206,2015.0
34,18,16,.529,-5.85,-4.69,7,7,13,5,2,10,2123,2095,62.1,100.1,.366,.364,.540,53.0,63.6,8.7,4.7,.513,19.2,31.6,.243,2015.0
31,16,15,.516,7.95,7.56,6,12,10,5,3,9,2119,2107,66.0,102.7,.381,.349,.514,50.5,52.2,9.0,10.7,.482,15.7,34.7,.250,2015.0
31,11,20,.355,-6.93,-2.90,7,13,6,9,5,10,2164,2289,66.9,103.9,.419,.264,.520,49.0,54.9,11.2,10.4,.475,15.7,36.3,.297,2015.0
33,12,21,.364,-9.46,-3.04,9,11,7,8,4,12,2275,2438,68.5,99.5,.421,.353,.523,49.3,46.3,6.9,8.5,.479,17.9,30.7,.296,2015.0
33,17,16,.515,10.55,8.24,6,12,10,6,3,7,2146,2046,65.3,99.6,.370,.329,.502,51.6,59.5,9.7,12.3,.454,16.5,35.2,.273,2015.0
